City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Parintins,BR,87.03,heavy intensity rain,-2.6283,-56.7358,Cama e Cafe
4,Bengkulu,ID,76.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
9,Rikitea,PF,77.18,broken clouds,-23.1203,-134.9692,Pension Maro'i
10,Caravelas,BR,82.15,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
14,Humaita,BR,89.64,light rain,-7.5061,-63.0208,Corrêa Hotel
15,Coahuayana,MX,84.2,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
16,Anito,PH,77.65,few clouds,12.4497,125.2886,The Yellow House
19,Mana,GF,81.88,overcast clouds,5.6592,-53.7767,LE SAMANA
22,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
26,Avarua,CK,78.8,scattered clouds,-21.2078,-159.775,Paradise Inn
29,Atuona,PF,80.8,overcast clouds,-9.8,-139.0333,Villa Enata
30,Bambanglipuro,ID,78.58,overcast clouds,-7.95,110.2833,Puri Brata
31,Karratha,AU,83.08,light rain,-20.7377,116.8463,ibis Styles Karratha
41,Sao Filipe,CV,75.49,few clouds,14.8961,-24.4956,Tortuga B&B
47,San Patricio,US,75.2,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Booue,GA,78.03,light rain,-0.0921,11.9385,Splendeur de l'équateur
56,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
61,Hualmay,PE,75.33,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
66,Majene,ID,79.36,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
68,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
73,Kavieng,PG,81.12,light rain,-2.5744,150.7967,Nusa Island Retreat
81,Ormara,PK,81.14,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
87,Marechal Candido Rondon,BR,82.65,broken clouds,-24.5561,-54.0567,Hotel Bender
88,Pinheiro,BR,88.7,broken clouds,-2.5214,-45.0825,Solares Hotel
90,Georgetown,MY,86.0,light rain,5.4112,100.3354,Cititel Penang
91,Faanui,PF,81.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Hambantota,LK,82.4,clear sky,6.1241,81.1185,Bungalow 63
105,Bo Rai,TH,76.26,overcast clouds,12.5728,102.5371,Baiboon Resort
115,Mar Del Plata,AR,75.2,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
118,Touros,BR,82.4,light rain,-5.1989,-35.4608,INN NEW HORIZON
119,Vila Velha,BR,82.99,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
125,Yenagoa,NG,85.77,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
128,Kochi,IN,78.8,mist,9.9399,76.2602,Hotel Abad
130,Ouidah,BJ,89.6,haze,6.3631,2.0851,Djegba Hotel
131,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
133,Isangel,VU,79.2,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
136,Puerto Ayora,EC,82.4,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
138,Itarema,BR,85.8,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
142,Takoradi,GH,83.17,broken clouds,4.8845,-1.7554,Raybow International Hotel
147,Lorengau,PG,79.02,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
149,Hithadhoo,MV,83.75,broken clouds,-0.6,73.0833,Scoop Guest House
151,Sabha,LY,78.73,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
153,Los Andes,CL,86.0,clear sky,-32.8337,-70.5983,Hotel Los Andes
161,Ugoofaaru,MV,83.64,few clouds,5.6667,73.0,Ungoofaaru Inn
163,Vaini,TO,75.2,light rain,-21.2,-175.2,Keleti Beach Resort
164,Mendoza,AR,75.2,scattered clouds,-32.8908,-68.8272,Hotel Mendoza
165,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
167,Huarmey,PE,75.25,scattered clouds,-10.0681,-78.1522,Hotel Miramar
170,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
172,Hobyo,SO,83.21,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
174,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
177,Wewak,PG,77.23,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
179,Banda Aceh,ID,80.26,broken clouds,5.5577,95.3222,Sulthan Hotel International
184,Dicabisagan,PH,75.31,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
185,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
187,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
198,Geraldton,AU,75.2,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
204,Tucurui,BR,88.32,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
210,Lekoni,GA,78.01,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
215,Dingle,PH,75.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
217,Catalina,US,80.01,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
227,Pitimbu,BR,78.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
228,Baiao,BR,84.04,broken clouds,-2.7906,-49.6717,Hotel Eurosono
230,Mumford,GH,82.44,broken clouds,5.2618,-0.759,Spanish Villa
236,Butaritari,KI,82.31,light rain,3.0707,172.7902,Isles Sunset Lodge
245,Victoria,HK,80.01,clear sky,22.2855,114.1577,Mini Hotel Central
250,San Policarpo,PH,81.16,broken clouds,12.1791,125.5072,JM Lodge
253,Zuwarah,LY,85.14,broken clouds,32.9312,12.082,يوسف
257,Ambon,ID,81.84,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
258,Amahai,ID,78.62,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
