City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,39.2,93,90,32.21,snow
1,Parintins,BR,-2.6283,-56.7358,87.03,61,89,4.03,heavy intensity rain
2,Punta Arenas,CL,-53.15,-70.9167,48.2,57,40,20.71,scattered clouds
3,Tahe,CN,52.3333,124.7333,19.81,91,75,3.62,broken clouds
4,Bengkulu,ID,-3.8004,102.2655,76.44,88,96,13.13,overcast clouds
5,Jumla,NP,29.2747,82.1838,39.76,23,18,4.09,few clouds
6,Grafton,US,42.207,-71.6856,46.99,22,1,11.5,clear sky
7,Nikolskoye,RU,59.7035,30.7861,37.4,75,75,6.71,broken clouds
8,Obo,CF,5.3998,26.4869,82.62,28,99,2.98,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,77.18,68,55,15.66,broken clouds
10,Caravelas,BR,-17.7125,-39.2481,82.15,67,72,8.12,broken clouds
11,Busselton,AU,-33.65,115.3333,64.99,78,100,4.0,light rain
12,Tura,IN,25.5198,90.2201,74.98,15,0,3.51,clear sky
13,Bredasdorp,ZA,-34.5322,20.0403,71.6,49,16,6.91,few clouds
14,Humaita,BR,-7.5061,-63.0208,89.64,57,100,3.09,light rain
15,Coahuayana,MX,18.7333,-103.6833,84.2,42,20,6.04,few clouds
16,Anito,PH,12.4497,125.2886,77.65,81,20,6.44,few clouds
17,La Ronge,CA,55.1001,-105.2842,41.0,38,49,5.75,scattered clouds
18,Barrow,US,71.2906,-156.7887,-25.6,83,90,3.44,fog
19,Mana,GF,5.6592,-53.7767,81.88,78,96,9.13,overcast clouds
20,Mill Valley,US,37.906,-122.545,54.0,59,38,5.12,scattered clouds
21,Airai,TL,-8.9266,125.4092,61.21,93,100,5.37,overcast clouds
22,Saint-Philippe,RE,-21.3585,55.7679,80.6,78,0,5.75,light rain
23,Hilo,US,19.7297,-155.09,68.0,88,75,3.09,light rain
24,Jamestown,US,42.097,-79.2353,46.0,33,1,10.36,clear sky
25,Sirnak,TR,37.5228,42.4594,43.0,61,43,5.12,scattered clouds
26,Avarua,CK,-21.2078,-159.775,78.8,83,40,8.05,scattered clouds
27,Shenjiamen,CN,29.9576,122.298,52.68,88,98,20.58,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,57.0,63,40,13.0,scattered clouds
29,Atuona,PF,-9.8,-139.0333,80.8,74,99,15.73,overcast clouds
30,Bambanglipuro,ID,-7.95,110.2833,78.58,85,97,2.01,overcast clouds
31,Karratha,AU,-20.7377,116.8463,83.08,51,23,5.55,light rain
32,Vilsbiburg,DE,48.45,12.35,44.01,60,89,5.01,overcast clouds
33,Yuzhne,UA,46.6221,31.1013,46.4,57,20,8.95,few clouds
34,New Norfolk,AU,-42.7826,147.0587,62.6,51,75,12.66,broken clouds
35,Lavrentiya,RU,65.5833,-171.0,1.67,92,100,9.86,overcast clouds
36,Bluff,NZ,-46.6,168.3333,57.0,63,62,13.0,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,-11.16,83,100,9.01,overcast clouds
38,Khilok,RU,51.3674,110.4676,21.88,83,35,3.91,scattered clouds
39,Bundaberg,AU,-24.85,152.35,73.99,94,75,11.5,light rain
40,Luorong,CN,24.4058,109.6086,63.09,76,4,11.92,clear sky
41,Sao Filipe,CV,14.8961,-24.4956,75.49,65,13,8.66,few clouds
42,Cape Town,ZA,-33.9258,18.4232,73.99,49,0,8.05,clear sky
43,Vuktyl,RU,63.8567,57.3094,26.62,92,100,4.38,overcast clouds
44,Goure,NE,13.9835,10.2704,89.01,7,2,5.99,clear sky
45,Ribeira Grande,PT,38.5167,-28.7,62.6,88,75,24.16,broken clouds
46,Aasiaat,GL,68.7098,-52.8699,-1.62,86,70,5.68,broken clouds
47,San Patricio,US,28.017,-97.5169,75.2,53,90,13.8,overcast clouds
48,Booue,GA,-0.0921,11.9385,78.03,90,98,0.43,light rain
49,Albany,US,42.6001,-73.9662,45.0,19,1,8.1,clear sky
50,Kapaa,US,22.0752,-159.319,71.6,78,20,13.8,light rain
51,Tvoroyri,FO,61.5556,-6.8111,44.6,87,20,35.68,few clouds
52,Saint George,US,37.1041,-113.5841,60.8,29,1,2.91,clear sky
53,Deputatskiy,RU,69.3,139.9,-14.1,100,100,1.88,overcast clouds
54,Takhtamygda,RU,54.1,123.5667,17.06,95,100,1.63,overcast clouds
55,Udachnyy,RU,66.4167,112.4,-27.87,100,65,3.67,broken clouds
56,Bambous Virieux,MU,-20.3428,57.7575,81.0,83,40,8.05,light rain
57,Vestmannaeyjar,IS,63.4427,-20.2734,44.6,81,90,29.93,overcast clouds
58,Alcaudete,ES,37.5909,-4.0824,66.99,48,75,11.5,broken clouds
59,Saldanha,ZA,-33.0117,17.9442,73.4,46,20,13.8,few clouds
60,Saskylakh,RU,71.9167,114.0833,-22.77,100,91,2.37,overcast clouds
61,Hualmay,PE,-11.0964,-77.6139,75.33,70,61,9.57,broken clouds
62,Hobart,AU,-42.8794,147.3294,62.6,51,90,4.61,overcast clouds
63,Upernavik,GL,72.7868,-56.1549,-10.79,84,26,5.86,scattered clouds
64,Kaitangata,NZ,-46.2817,169.8464,57.99,46,89,11.99,overcast clouds
65,Flinders,AU,-34.5833,150.8552,64.0,89,24,1.01,few clouds
66,Majene,ID,-3.5403,118.9707,79.36,79,96,5.17,overcast clouds
67,Kosh-Agach,RU,50.0,88.6667,8.82,42,1,5.19,clear sky
68,Carnarvon,AU,-24.8667,113.6333,78.8,89,40,18.41,scattered clouds
69,Clyde River,CA,70.4692,-68.5914,-11.2,70,20,5.39,few clouds
70,Mananara,MG,-16.1667,49.7667,74.98,92,69,4.61,broken clouds
71,San Jose,US,37.3394,-121.895,54.0,71,90,5.75,overcast clouds
72,Bentiu,SS,9.2333,29.8333,93.9,14,32,5.41,scattered clouds
73,Kavieng,PG,-2.5744,150.7967,81.12,78,68,5.57,light rain
74,Kahului,US,20.8947,-156.47,68.0,94,40,5.75,scattered clouds
75,Esperance,AU,-33.8667,121.9,62.6,77,90,16.11,overcast clouds
76,Vredendal,ZA,-31.6683,18.5012,70.95,44,0,12.15,clear sky
77,Dikson,RU,73.5069,80.5464,-19.14,83,34,5.77,scattered clouds
78,Pacific Grove,US,36.6177,-121.9166,53.6,66,90,4.61,overcast clouds
79,Tuatapere,NZ,-46.1333,167.6833,57.0,63,8,13.0,clear sky
80,Hermanus,ZA,-34.4187,19.2345,68.0,72,3,1.99,clear sky
81,Ormara,PK,25.2088,64.6357,81.14,70,0,11.92,clear sky
82,Moba,CN,33.2288,105.0179,41.0,80,100,2.86,overcast clouds
83,Khatanga,RU,71.9667,102.5,-28.05,92,13,3.87,few clouds
84,Naze,JP,28.3667,129.4833,66.18,91,60,6.35,broken clouds
85,East London,ZA,-33.0153,27.9116,66.2,68,0,9.22,clear sky
86,Deer Park,US,29.7052,-95.1238,66.0,59,90,8.05,overcast clouds
87,Marechal Candido Rondon,BR,-24.5561,-54.0567,82.65,42,68,4.47,broken clouds
88,Pinheiro,BR,-2.5214,-45.0825,88.7,56,70,5.32,broken clouds
89,Lompoc,US,34.6391,-120.4579,51.8,82,38,3.44,scattered clouds
90,Georgetown,MY,5.4112,100.3354,86.0,74,20,7.78,light rain
91,Faanui,PF,-16.4833,-151.75,81.3,72,88,7.92,light rain
92,Talnakh,RU,69.4865,88.3972,-11.74,78,0,7.2,clear sky
93,Cherskiy,RU,68.75,161.3,-21.8,94,55,4.38,broken clouds
94,Tateyama,JP,34.9833,139.8667,62.01,80,66,1.01,broken clouds
95,Neiafu,TO,-18.65,-173.9833,71.6,94,75,6.06,broken clouds
96,Vostok,RU,46.4856,135.8833,21.81,62,37,8.7,scattered clouds
97,Tasiilaq,GL,65.6145,-37.6368,26.6,54,20,12.66,few clouds
98,Castro,BR,-24.7911,-50.0119,73.74,50,38,3.51,scattered clouds
